word_original	en	fr	de	ru	zh	es	ja	ko	et	fi	nl	hi	it	sym_en	sym_fr	sym_de	sym_ru	sym_zh	sym_es	sym_ja	sym_ko	sym_et	sum_fi	sum_nl	sym_hi	sym_it	claude_en	claude_fr	claude_de	claude_ru	claude_zh	claude_es	claude_ja	claude_ko	claude_et	claude_fi	claude_nl	claude_hi	claude_it
book	book	livre	Buch	книга	书	libro	本	책	raamat	kirja	boek	किताब	libro	['book']	['livre']	['Buch']	['книга']	['書', '书籍', '書籍', '书', '圖書', '图书']	['libro']	['本']	['책']	['raamat']	['kirja']	['boek', 'boeken', 'album', 'boekwerk', 'boekje']	['किताब', 'पुस्तक']	['libro']	['tome', 'volume', 'publication', 'text', 'novel', 'manuscript']	['ouvrage', 'tome', 'bouquin', 'volume', 'publication']	['Band', 'Werk', 'Lektüre', 'Schrift', 'Wälzer']	['том', 'издание', 'произведение', 'труд']	['册', '本', '卷', '著作', '书籍']	['tomo', 'volumen', 'obra', 'texto', 'publicación']	['書籍', '冊子', '書物', '書', '著書']	["서적", "도서", "문헌", "저서", "교재"]	["teos", "köide", "trükis"]	["teos", "opus", "nide"]	["werk", "volume", "geschrift", "publicatie"]	["पुस्तक", "ग्रंथ", "पोथी"]	["volume", "tomo", "pubblicazione", "opera", "testo"]
cloud	cloud	nuage	Wolke	облако	云	nube	雲	구름	pilv	pilvi	wolk	बादल	nuvola	['cloud']	['nuage']	['Wolke', 'Gewölk']	['облако', 'облака', 'о́блако', 'ту́ча']	['雲', '云']	['nube', 'nubes']	['雲']	['구름']	['pilv', 'Pilv']	['pilvi']	['wolk']	['अभ्र', 'बादल', 'मेघ']	['nube', 'nuvola', 'nembo']	['mist', 'fog', 'haze', 'vapor']	['nuée', 'brume', 'vapeur']	['Gewölk', 'Dunst', 'Nebel', 'Schleier']	['туча', 'тучка', 'облачко']	['云朵', '云彩', '云层']	['nubarrón', 'nubosidad']	['雲霧', '雲海', '曇']	["운", "먹구름", "뭉게구름"]	["pilvitus", "udu"]	["pilvenhattara", "pilvisyys"]	["nevel", "damp", "mist"]	["मेघ", "घन", "अभ्र"]	["nube", "nembo", "cumulo"]
bag	bag	sac	Tasche	сумка	包	bolsa	鞄	가방	kott	laukku	tas	बैग	borsa	['bag', 'purse', 'handbag', 'pocketbook', 'sack', 'paper bag', 'carrier bag', 'poke', 'plastic shopping bag', 'case', 'suitcase', 'traveling bag', 'travelling bag', 'grip']	['sac à main', 'porte-monnaie', 'sac', 'sac plastique', 'sac de caisse', 'sac en papier', 'valise', 'valoche']	['Handtasche', 'Sack', 'Tasche', 'Beutel', 'Tüte', 'Tragetasche', 'Plastiktüte', 'Papiersack', 'Tragetüte', 'Reisekoffer', 'Koffer', 'Reisetasche']	['сумочка', 'ридикюль', 'сумка', 'су́мочка', 'су́мка', 'паке́т', 'кулёк', 'Бумажный пакет', 'куль', 'бумажный пакет', 'пластиковый пакет', 'мешо́к', 'чемодан', 'чемода́н']	['皮包', '手袋', '手提包', '钱包', '袋', '張泰開', '包', '袋子', '囊', '购物袋', '纸袋', '塑料袋', '購物袋', '手提箱', '行李箱', '皮箱', '衣箱']	['bolso', 'cartera', 'bulto', 'bolsa', 'bolsa de papel', 'costal', 'saco', 'bolsa plástica de compra', 'valija', 'maleta', 'petaca', 'bolsa de viaje', 'mala']	['ハンドバッグ', '鞄', '袋', 'レジ袋', 'ビニール袋', 'キャリアバッグ', 'サック', '紙袋', 'スーツケース', 'トランク']	['손가방', '가방', '비닐봉투', '자루', '쇼핑 백', '종이 가방', '여행 가방', '트렁크', '슈트케이스']	['käekott', 'Kott', 'Paberkott', 'kott', 'kilekott', 'kohver']	['käsilaukku', 'Käsilaukku', 'laukku', 'lompakko', 'kukkaro', 'pussi', 'kassi', 'muovikassi', 'paperikassi', 'paperipussi', 'säkki', 'matkalaukku', 'matkakassi']	['tas', 'handtas', 'Handtas', 'tasje', 'zak', 'papieren tas', 'buil', 'koffer', 'valies']	['थैला', 'बोरा', 'बोरी', 'कागज के थैले', 'सूटकेस']	['portamonete', 'borsello', 'borsetta', 'borsa', 'borsetto', 'sacchetto', 'sacco', 'busta', 'Sacchetto di plastica', 'busta di carta', 'sacco di plastica', 'sacchetto di carta', 'valiggia', 'valigia', 'bagaglio']	['sack', 'pouch', 'purse', 'container', 'tote']	['sacoche', 'poche', 'besace', 'sac à main']	['Beutel', 'Sack', 'Tüte', 'Rucksack', 'Koffer']	['сумочка', 'мешок', 'пакет', 'портфель']	['袋', '包包', '手提包', '背包']	['saco', 'bolso', 'mochila', 'cartera']	['バッグ', 'かばん', '袋', '手提げ']	["백", "핸드백", "파우치", "보따리"]	["kott", "paun", "seljakott"]	["kassi", "reppu", "säkki"]	["zak", "koffer", "rugzak", "buidel"]	["थैला", "झोला", "बोरा"]	["sacca", "sacco", "borsetta", "valigia"]
mountain	mountain	montagne	Berg	гора	山	montaña	山	산	mägi	vuori	berg	पहाड़	montagna	['mountain', 'mount']	['montagne']	['Berg']	['гора']	['山', '山脉', '高山', '大山']	['montaña', 'monte']	['山岳', '山']	['산']	['mägi']	['vuori']	['berg']	['पहाड़', 'पर्वत']	['montagna', 'monte']	['peak', 'summit', 'hill', 'mount', 'alp']	['mont', 'pic', 'sommet', 'massif']	['Gipfel', 'Erhebung', 'Gebirge', 'Anhöhe', 'Hügel']	['вершина', 'холм', 'возвышенность']	['山峰', '山岳', '高山', '山脉']	['monte', 'cerro', 'colina', 'cordillera', 'pico']	['山岳', '山脈', '丘', '峰', '高山']	["봉우리", "산맥", "고산", "산악"]	["mäestik", "küngas", "kõrgendik"]	["vaara", "tunturi", "kukkula"]	["heuvel", "piek", "top", "gebergte"]	["पर्वत", "गिरि", "शैल"]	["monte", "picco", "vetta", "cima"]
cloth	cloth	tissu	Stoff	ткань	布	tela	布	천	riie	kangas	doek	कपड़ा	tessuto	['cloth', 'fabric', 'textile', 'material']	['textile', 'étoffe', 'tissu']	['Gewebe', 'Textilien', 'Stoff', 'Textil', 'Textilie']	['материя', 'ткань', 'текстиль', 'мате́рия', 'материа́л']	['紡織', '布料', '纺织', '织物', '台布', '布', '衣料', '纺织品', '織物']	['textil', 'tela', 'tejido', 'género', 'paño', 'trapo', 'material']	['布', '織物']	['직물', '옷감']	['tekstiil', 'riie', 'kangas']	['tekstiili', 'kangas', 'kudos', 'materiaali']	['textiel', 'geweven stof', 'weefsel', 'kleed', 'doek', 'stof', 'vod']	['कपड़ा', 'वस्त्र']	['prodotto tessile', 'materia tessile', 'tessuto', 'stoffa', 'tela', 'roba', 'pezza', 'panno', 'sbiadato']	['fabric', 'textile', 'material', 'linen']	['étoffe', 'textile', 'toile']	['Gewebe', 'Textilie', 'Tuch', 'Zeug', 'Gewand']	['материал', 'полотно', 'материя', 'текстиль']	['布料', '织物', '布匹', '布帛']	['tejido', 'textil', 'lienzo', 'paño']	['織物', '生地', 'テキスタイル', '反物']	["직물", "섬유", "옷감", "헝겊"]	["kangas", "riietus", "tekstiil"]	["tekstiili", "kudin", "vaate"]	["stof", "textiel", "lap", "linnen"]	["वस्त्र", "चीर", "पट"]	["stoffa", "panno", "tela"]
heart	heart	cœur	Herz	сердце	心	corazón	心臓	심장	süda	sydän	hart	दिल	cuore	['heart', 'ticker', 'pump', 'Diaphragmatic surface of heart', 'human heart', 'cardiac chamber', 'affectionateness', 'philia', 'fondness', 'warmheartedness', 'affection', 'tenderness', 'warmness', 'affectio', 'eye', 'center', 'centre', 'middle']	['cœur', 'myocarde', 'cœur humain', 'cavité cardiaque', 'Philia', 'affection', 'philia', 'centre']	['Herz', 'Philia', 'Affektion', 'Zuneigung']	['сердце', 'сердце человека', 'филия', 'се́рдце', 'привязанность', 'серде́чко']	['心脏', '心', '心臟', '胸口', '最高形式的爱', '友愛', '愛意', '心形', '爱情', '慈爱', '好感', '中间', '中心', '中心点', '中央']	['corazón', 'cámara cardíaca', 'corazón humano', 'philia', 'afecto', 'filia', 'simpatía', 'ternura', 'afección', 'afición', 'amor', 'apego', 'afectividad', 'cariño', 'centro', 'ojo', 'medio']	['心臓', '心腔', 'ヒトの心臓', 'ハート', '愛着', 'フィリア', '心形']	['심장', '애착', '햅틱', '필리아']	['süda', 'Afektsioon']	['sydän', 'sydänlihas', 'pumppu', 'kiintymys', 'rakkaus', 'mieltymys', 'sydämellisyys', 'lämpö', 'lämminsydämisyys', 'rakastavuus', 'filia', 'hellyys', 'heikkous', 'keskusta', 'keskus', 'silmä', 'keskipiste']	['hart', 'human heart', 'hartkamer', 'lever', 'tikkertje', 'tikker', 'rikketik', 'affectie', 'Philia', 'genegenheid', 'kern']	['हृदय', 'प्रेम', 'स्नेह', 'कल्ब', 'दिल', 'क़ल्ब']	['cuore', 'cuore umano', 'Superficie diaframmatica', 'superficie diaframmatica del cuore', 'philia', 'affezione', 'affetto', 'attaccamento', 'bene', 'amore', 'centro', 'mezzo']	['core', 'center', 'essence', 'soul', 'ticker']	['organe', 'centre', 'noyau']	['Gemüt', 'Seele', 'Kern', 'Mitte', 'Zentrum']	['душа', 'центр', 'ядро']	['内心', '心脏', '心灵', '中心']	['alma', 'núcleo', 'centro', 'esencia']	['心', '心情', '胸', '循環器']	["가슴", "마음", "중심", "핵심"]	["südamik", "tuum"]	["sydämen muotoinen"]	["kern", "midden", "centrum", "ziel"]	["हृदय", "मन", "कलेजा"]	["cuor", "animo", "centro", "essenza"]
day	day	jour	Tag	день	日	día	日	날	päev	päivä	dag	दिन	giorno	['day', 'twenty-four hour period', 'solar day', 'twenty-four hours', 'mean solar day']	['jour', 'jour solaire']	['Tag', 'Solartag', 'Sonnentag']	['со́лнечные су́тки', 'сутки']	['日', '太陽日', '太阳日', '一昼夜', '平均太阳日', '民用日', '天', '日历日', '恒星日']	['día', 'día solar']	['日', '太陽日']	['날', '일']	['ööpäev']	['vuorokausi', 'aurinkovuorokausi', 'päivä']	['dag', 'zonnedag']	['दिन']	['giorno', "ventiquattr'ore"]	['daytime', 'daylight', 'sunlight', 'diurnal']	['journée', 'date', 'période']	['Tageszeit', 'Tageslicht', 'Zeitraum', 'Datum']	['сутки', 'световой день', 'дневное время']	['天', '白天', '日子', '昼']	['jornada', 'fecha', 'diurno']	['一日', '昼間', '日中', '日々', '日付']	["하루", "일", "낮", "주간"]	["ööpäev", "aeg"]	["vuorokausi", "päivänvalo"]	["etmaal", "dagdeel", "daglicht"]	["दिवस", "वार", "रोज़"]	["dì", "giornata", "data"]
star	star	étoile	Stern	звезда	星	estrella	星	별	täht	tähti	ster	तारा	stella	['star', 'asterisk', 'superstar', 'maven', 'intenditore', 'wiz', 'champion', 'whiz', 'mavin', 'hotshot', 'wizard', 'adept', 'genius', 'ace', 'virtuoso', 'sensation', 'whizz', 'Maven', 'principal', 'lead']	['étoile', 'astérisque', 'superstar', 'spécialiste', 'vedette', 'connaisseur', 'as', 'machine', 'expert', 'champion', 'Maven', 'virtuose', 'génie', 'bête', 'effet superstar', 'sommité']	['Stern', 'Sonne', 'Fixstern', 'Sternchen', 'Superstar', 'Expertin', 'Promi', 'Kennerin', 'Adept', 'Prominenter', 'Prominente', 'Experte', 'Kenner', 'Maven', 'Wunder-', 'Meister']	['звезда', 'звезда́', 'звёздочка', 'специали́стка', 'ма́стер', 'до́ка', 'адепт', 'уме́лица', 'экспе́рт', 'знато́к', 'суперзвезда́', 'уме́лец', 'специали́ст', 'суперзвезда', 'Maven', 'спец', 'Суперзвезда']	['星', '恒星', '恆星', '母恒星', '星號', '星号', '星章', '星标', '星形', '星形物', '超级明星', '超級明星', '专家', '超天才', '好手', '行家', '高手', '天才人物', '天才', '精明的人', '能手', '專家', 'Maven', '熟練的人', '明星', '熟练的人', '巨星']	['estrella', 'astro', 'asterisco', 'superestrella', 'entendida', 'entendido', 'Adepto', 'adepto', 'Maven', 'experta', 'experto', 'diestro', 'crack', 'asistente', 'virtuoso', 'ducho', 'genio', 'maven', 'mavin', 'as', 'wiz', 'hacha', 'artista', 'protagonista']	['恒星', '星', '母恒星', 'アスタリスク', '星印', 'スーパースター', '著名人', '花形', '有名人', '大物', 'アデプト', 'メイヴン', '主演', '主役']	['별', '항성', '외계 행성 주인별', '별표', '슈퍼스타', '유명인', '스타', '메이븐', '마벤']	['täht', 'tärn', '*', 'Täht', 'superstaar', 'sepp', 'talent', 'adept', 'staar', 'Adept', 'kuulsus', 'filmitäht', 'lavatäht']	['tähti', 'kiintotähti', 'asteriski', 'tähtimerkki', '-niekka', 'supertähti', 'ekspertti', 'tuntija', 'asiantuntija', 'taituri', 'taitaja', 'Adepti', 'ässä', 'taitoniekka', 'adepti', 'huippu-', 'mestari', 'nero', 'virtuoosi', 'velho', 'huippu', 'pääosan esittäjä']	['zon', 'ster', 'sterretje', 'asterisk', 'vedette', 'superster', 'expert', 'zelf-benoemde expert', 'adept', 'Maven', 'deskundige', 'zelf-benoemde specialist', 'kanjer', 'hoogvlieger', 'kei', 'topper', 'genie', 'aas', 'kraan', 'bollebof', 'licht', 'meesteres', 'knapperd', 'grootmeester', 'meester', 'crack', 'coryfee', 'virtuoos', 'meesterbrein', 'specialist', 'bolleboos', 'raspaardje', 'uitblinker', 'duivelskunstenaar', 'hoofdrolspeler']	['तारा', '*', 'सुपरसितारा', 'सितारा', 'प्रवीण', 'स्टार', 'सुपरस्टार']	['stella', 'astro', 'sole', 'asterisco', 'stelletta', 'superstar', 'Maven', 'diva', 'intenditore', 'adepto', 'primadonna', 'cannone', 'cima', 'demonio', 'mostro', 'mago', 'fuoriclasse', 'asso', 'fenomeno', 'divo', 'celebrità', 'vedette']	['celestial body', 'sun', 'luminary', 'asteroid']	['astre', 'vedette', 'célébrité']	['Gestirn', 'Himmelskörper', 'Berühmtheit', 'Idol']	['светило', 'знаменитость']	['恒星', '明星', '星辰', '星球']	['astro', 'luminaria', 'celebridad']	['恒星', '星座', 'スター', '俳優']	["스타", "천체", "성좌"]	["tähekogu", "tähtkuju"]	["taivaankappale", "julkkis"]	["hemellichaam", "beroemdheid", "vedette"]	["नक्षत्र", "सितारा", "उडु"]	["astro", "celebrità", "divo"]
spring	spring	printemps	Frühling	весна	春	primavera	春	봄	kevad	kevät	lente	वसंत	primavera	['spring', 'outpouring', 'outflow', 'fountain', 'natural spring', 'season', 'time of year', 'springtime']	['source', 'saison', 'printemps', 'ressort']	['Quelle', 'Jahreszeit', 'Frühjahr', 'Frühling', 'Lenz', 'Feder', 'Sprungfeder']	['родник', 'ключ', 'студене́ц', 'родни́к', 'исто́чник', 'время года', 'времена года', 'весна', 'весна́', 'весеннее вре́мя года', 'весе́нний сезо́н', 'пружина', 'пружи́на', 'рессо́ра']	['源泉', '泉', '泉水', '喷泉', '季节', '季節', '季', '春天', '春', '春季', '彈簧', '弹簧', '發條', '发条']	['manantial', 'fuente', 'vertiente', 'surtidor', 'brollador', 'fuente natural', 'emanación', 'estación', 'estación del año', 'estaciones del año', 'primavera', 'resorte', 'muelle']	['泉', '湧水', '温泉', '季節', '春', 'スプリング', 'バネ', '発条', 'ばね']	['샘터', '샘', '계절', '봄', '출렁쇠', '용수철']	['allikas', 'läte', 'veesilm', 'sesoon', 'aastaaeg', 'hooaeg', 'aastaajad', 'kevad', 'vedru', 'Vedru']	['lähde', 'ulosvirtaus', 'purkaus', 'luonnonlähde', 'vuodenaika', 'kausi', 'kevät', 'keväin', 'jousi', 'vieteri', 'joustin']	['bron', 'wel', 'fontein', 'seizoen', 'jaargetijde', 'jaargetij', 'voorjaar', 'lente', 'lentetijd', 'veer']	['पानी का चश्मा', 'चश्मा', 'ऋतु', 'मौसम', 'बसंत', 'बहार', 'वसंत', 'वसन्त ऋतु', 'कमानी']	['sorgente', 'fonte', 'polla', 'scaturigine', 'stagione', 'primavera', 'vere', 'molla']	['fountain', 'source', 'wellspring', 'coil']	['source', 'ressort']	['Lenz', 'Frühjahr', 'Frühlingszeit']	['весенний сезон']	['春天', '春季', '暮春', '初春']	['resorte', 'fuente', 'manantial']	['春季', '泉', 'バネ', '春分']	["춘계", "새봄", "만춘"]	["kevadaeg", "kevadkuu"]	["keväinen"]	["voorjaar", "mei"]	["बसंत", "ऋतुराज", "मधुमास"]	["fonte", "sorgente", "molla"]
moon	moon	lune	Mond	луна	月	luna	月	달	kuu	kuu	maan	चांद	luna	['moon', 'Luna']	['lune', 'Lune']	['Mond', 'Frau Luna', 'Luna', 'Erdmond']	['Луна', 'месяц']	['月球', '月', '月亮']	['Luna', 'luna']	['月']	['달']	['Kuu']	['Kuu', 'kuu']	['maan', 'Maan']	['चन्द्रमा']	['luna', 'Luna']	['lunar', 'satellite', 'crescent', 'luna']	['satellite', 'astre']	['Erdtrabant', 'Luna', 'Himmelskörper']	['месяц', 'спутник']	['月亮', '月球', '月份']	['satélite', 'lunación']	['衛星', '月球', '月面', '満月', '三日月']	["월", "위성", "초승달", "보름달"]	["kuuketas", "kaaslane"]	["kuutamo", "kuunsirppi"]	["satelliet", "maanlicht"]	["चन्द्रमा", "शशि", "सोम"]	["satellite", "selene"]
