zh,en,fr
华,Chinese,chinois
華,Chinese,chinois
加,add,ajouter
添,add,ajouter
後,after,après
后,after,après
及,and,et
而,and,et
和,and,et
与,and,et
现,appear,apparaître
显,appear,apparaître
區,area,zone
区,area,zone
军,army,armée
軍,army,armée
在,at,à
于,at,à
间,between,entre
間,between,entre
身,body,corps
体,body,corps
書,book,livre
本,book,livre
书,book,livre
桥,bridge,pont
橋,bridge,pont
昭,bright,brillant
明,bright,brillant
業,business,affaires
商,business,affaires
以,by,par
被,by,par
计,calculate,calculer
計,calculate,calculer
算,calculate,calculer
京,capital,capitale
都,capital,capitale
变,change,changer
化,change,changer
改,change,changer
変,change,changer
选,choose,choisir
選,choose,choisir
市,city,ville
城,city,ville
云,cloud,nuage
雲,cloud,nuage
码,code,code
典,code,code
并,combine,combiner
合,combine,combiner
連,connect,connecter
接,connect,connecter
连,connect,connecter
对,correct,correct
正,correct,correct
國,country,pays
国,country,pays
県,county,comté
县,county,comté
郡,county,comté
造,create,créer
创,create,créer
断,cut,couper
切,cut,couper
陳,display,afficher
陈,display,afficher
門,door,porte
门,door,porte
戸,door,porte
东,east,est
東,east,est
进,enter,entrer
入,enter,entrer
設,establish,établir
设,establish,établir
越,exceed,dépasser
超,exceed,dépasser
秀,excellent,excellent
嘉,excellent,excellent
交,exchange,échanger
换,exchange,échanger
场,field,champ
田,field,champ
森,forest,forêt
林,forest,forêt
由,from,de
从,from,de
好,good,bon
良,good,bon
群,group,groupe
组,group,groupe
守,guard,garde
衛,guard,garde
他,he,il
伊,he,il
頭,head,tête
首,head,tête
头,head,tête
岡,hill,colline
坂,hill,colline
打,hit,frapper
击,hit,frapper
希,hope,espoir
望,hope,espoir
马,horse,cheval
馬,horse,cheval
屋,house,maison
房,house,maison
内,inside,intérieur
里,inside,intérieur
洲,island,île
島,island,île
参,join,rejoindre
联,join,rejoindre
楽,joy,joie
喜,joy,joie
义,justice,justice
義,justice,justice
語,language,langue
语,language,langue
学,learn,apprendre
學,learn,apprendre
命,life,vie
生,life,vie
如,like,comme
像,like,comme
线,line,ligne
線,line,ligne
活,live,vivre
居,live,habiter
久,long,long
长,long,long
長,long,long
输,lose,perdre
失,lose,perdre
恋,love,amour
愛,love,amour
机,machine,machine
機,machine,machine
雄,male,mâle
男,male,mâle
郎,man,homme
漢,man,homme
汉,man,homme
测,measure,mesurer
量,measure,mesurer
會,meeting,réunion
会,meeting,réunion
移,move,bouger
动,move,bouger
動,move,bouger
羅,net,réseau
网,net,réseau
无,none,aucun
無,none,aucun
不,not,ne
非,not,ne
没,not,pas
数,number,nombre
号,number,numéro
得,obtain,obtenir
获,obtain,obtenir
之,of,de
的,of,de
故,old,vieux
老,old,vieux
张,open,ouvrir
開,open,ouvrir
开,open,ouvrir
原,origin,origine
元,origin,origine
样,pattern,modèle
格,pattern,modèle
人,person,personne
者,person,personne
片,piece,pièce
件,piece,pièce
場,place,endroit
处,place,endroit
置,place,endroit
所,place,endroit
拉,pull,tirer
引,pull,tirer
達,reach,atteindre
达,reach,atteindre
实,real,r éel
実,real,r éel
紀,record,record
录,record,record
記,record,record
朱,red,rouge
红,red,rouge
赤,red,rouge
報,report,rapport
伝,report,rapport
回,return,retour
复,return,retour
还,return,retour
返,return,retour
江,river, rivière
川,river, rivière
河,river, rivière
道,road,route
路,road,route
节,section,section
段,section,section
科,section,section
看,see,voir
视,see,voir
見,see,voir
形,shape,forme
状,shape,forme
当,should,devoir
应,should,devoir
该,should,devoir
小,small,petit
么,small,petit
歌,song,chanson
曲,song,chanson
说,speak,parler
話,speak,parler
话,speak,parler
神,spirit,esprit
鬼,spirit,esprit
展,spread,étaler
传,spread,répandre
春,spring,printemps
泉,spring,printemps
立,stand,debout
站,stand,debout
态,state,état
州,state,état
奇,strange,étrange
怪,strange,étrange
阳,sun,soleil
日,sun,soleil
陽,sun,soleil
统,system,système
制,system,système
系,system,système
想,think,penser
思,think,penser
这,this,ce
此,this,ce
斯,this,ce
結,tie,noeud
结,tie,noeud
時,time,temps
时,time,temps
町,town,ville
镇,town,ville
番,turn,virage
转,turn,tourner
二,two,deux
两,two,deux
种,type,genre
型,type,genre
类,type,genre
使,use,utiliser
用,use,utiliser
村,village,village
乡,village,village
庄,village,village
等,wait,attendre
候,wait,attendre
将,will,volonté
志,will,volonté
黃,yellow,jaune
黄,yellow,jaune
君,you,tu
你,you,tu
尔,you,tu
