zh,en,zh_to_en_prob,en_to_zh_prob,fr,en_to_fr_prob,fr_to_en_prob,de,en_to_de_prob,de_to_en_prob,ru,en_to_ru_prob,ru_to_en_prob
七,▁seven,0.6401367,0.74609375,▁sept,0.47216797,0.57666016,▁sieben,0.58691406,0.6855469,▁сем,0.68896484,0.35791016
系,▁system,0.2956543,0.4819336,▁système,0.33203125,0.7192383,▁System,0.4675293,0.19494629,▁система,0.29638672,0.9033203
符,▁symbol,0.05606079,0.703125,▁sym,0.28857422,0.060150146,▁Symbol,0.51708984,0.12890625,▁сим,0.5605469,0.13183594
和,▁and,0.39208984,0.33764648,▁et,0.6875,0.67529297,▁und,0.8076172,0.7714844,▁и,0.9404297,0.51953125
书,▁book,0.6176758,0.68408203,▁livre,0.49414062,0.66552734,▁Buch,0.7558594,0.6020508,▁кни,0.81396484,0.7871094
近,▁near,0.2944336,0.6245117,▁près,0.3371582,0.4819336,▁nahe,0.4267578,0.27734375,▁бли,0.35131836,0.2709961
王,▁king,0.6591797,0.50927734,▁roi,0.47436523,0.75439453,▁König,0.7495117,0.59521484,▁цар,0.3984375,0.5776367
田,▁field,0.60498047,0.7294922,▁champ,0.3569336,0.44555664,▁Feld,0.64990234,0.66015625,▁поле,0.5371094,0.8647461
你,▁you,0.8100586,0.88427734,▁vous,0.36621094,0.7246094,▁du,0.4350586,0.51464844,▁ты,0.75146484,0.80908203
这,▁this,0.60302734,0.59033203,▁ce,0.27416992,0.4038086,▁dies,0.25463867,0.17248535,▁это,0.37109375,0.56152344
母,▁mother,0.7270508,0.6254883,▁mère,0.6567383,0.7451172,▁Mutter,0.89501953,0.75878906,▁ма,0.8930664,0.41577148
他,▁he,0.3112793,0.7998047,▁il,0.42236328,0.44433594,▁er,0.78564453,0.27124023,▁он,0.9199219,0.7763672
电,▁electric,0.36108398,0.8120117,▁élect,0.21984863,0.08129883,▁elektr,0.5185547,0.16333008,▁элект,0.81396484,0.6826172
