zh,en,zh_to_en_prob,en_to_zh_prob
线,▁line,0.4104004,0.49023438
公,▁public,0.31396484,0.6411133
火,▁fire,0.5878906,0.8442383
镇,▁town,0.7319336,0.26049805
直,▁straight,0.40478516,0.59814453
政,▁politics,0.3491211,0.80371094
知,▁know,0.38256836,0.8725586
人,▁people,0.31420898,0.6357422
单,▁single,0.19897461,0.36914062
模,▁model,0.3701172,0.5888672
奇,▁strange,0.112976074,0.58935547
七,▁seven,0.6401367,0.74609375
问,▁question,0.30908203,0.95703125
下,▁down,0.17773438,0.45629883
属,▁belong,0.08605957,0.29882812
系,▁system,0.2956543,0.4819336
重,▁heavy,0.18554688,0.57470703
月,▁month,0.45288086,0.83251953
符,▁symbol,0.05606079,0.703125
从,▁from,0.37890625,0.5419922
红,▁red,0.5864258,0.80126953
九,▁nine,0.7026367,0.8901367
天,▁sky,0.32763672,0.8623047
源,▁source,0.14025879,0.31274414
字,▁character,0.27905273,0.22375488
草,▁grass,0.6582031,0.73583984
再,▁again,0.40478516,0.21435547
千,▁thousand,0.5493164,0.5185547
太,▁too,0.06518555,0.39111328
加,▁add,0.10870361,0.4765625
世,▁world,0.40698242,0.5439453
想,▁want,0.17932129,0.46191406
标,▁mark,0.08331299,0.21838379
其,▁other,0.15600586,0.5102539
上,▁up,0.1673584,0.21289062
那,▁that,0.3815918,0.8701172
影,▁shadow,0.41064453,0.85253906
指,▁finger,0.44433594,0.5761719
和,▁and,0.39208984,0.33764648
家,▁home,0.35986328,0.64941406
支,▁support,0.14416504,0.68652344
根,▁root,0.5498047,0.7158203
失,▁lose,0.1595459,0.3947754
转,▁turn,0.21008301,0.3737793
店,▁shop,0.59033203,0.41967773
面,▁face,0.30615234,0.42016602
联,▁union,0.1743164,0.31347656
过,▁over,0.14794922,0.21838379
确,▁sure,0.17333984,0.2553711
限,▁limit,0.35668945,0.60791016
书,▁book,0.6176758,0.68408203
平,▁flat,0.20239258,0.33325195
波,▁wave,0.1307373,0.61279297
丁,▁D,0.047912598,0.075805664
近,▁near,0.2944336,0.6245117
富,▁rich,0.4243164,0.7089844
边,▁border,0.2836914,0.75878906
王,▁king,0.6591797,0.50927734
方,▁method,0.12432861,0.63964844
会,▁meeting,0.17456055,0.6645508
田,▁field,0.60498047,0.7294922
寺,▁temple,0.8647461,0.5175781
明,▁bright,0.22509766,0.5341797
选,▁choose,0.18286133,0.7026367
请,▁please,0.52001953,0.8959961
马,▁horse,0.70996094,0.7583008
才,▁talent,0.15209961,0.64746094
记,▁record,0.24133301,0.4873047
效,▁effect,0.09484863,0.53808594
黄,▁yellow,0.68066406,0.9511719
试,▁try,0.25683594,0.65771484
食,▁food,0.25610352,0.49951172
判,▁judge,0.2467041,0.35131836
后,▁back,0.14135742,0.3779297
你,▁you,0.8100586,0.88427734
删,▁delete,0.33520508,0.8515625
这,▁this,0.60302734,0.59033203
解,▁solution,0.16552734,0.55908203
展,▁exhibition,0.16381836,0.7402344
基,▁base,0.18664551,0.6044922
忠,▁loyal,0.43139648,0.85595703
理,▁reason,0.19519043,0.22595215
研,▁research,0.23254395,0.7319336
只,▁only,0.5258789,0.51416016
来,▁come,0.3178711,0.6459961
智,▁wisdom,0.28051758,0.7211914
德,▁Germany,0.09729004,0.9477539
桥,▁bridge,0.7392578,0.82910156
土,▁earth,0.46826172,0.48608398
母,▁mother,0.7270508,0.6254883
身,▁body,0.41137695,0.31884766
章,▁chapter,0.2800293,0.5913086
洞,▁cave,0.69384766,0.71533203
他,▁he,0.3112793,0.7998047
守,▁guard,0.17944336,0.20605469
电,▁electric,0.36108398,0.8120117
夏,▁summer,0.7104492,0.91845703
森,▁forest,0.6298828,0.5756836
夫,▁husband,0.6772461,0.24584961
在,▁in,0.14880371,0.7324219
版,▁version,0.16784668,0.70703125
成,▁success,0.113220215,0.71240234
信,▁faith,0.12060547,0.8852539
山,▁mountain,0.72802734,0.82373047
南,▁south,0.68310547,0.9370117
特,▁special,0.22570801,0.6669922
博,▁museum,0.039886475,0.82373047
球,▁ball,0.62158203,0.89941406
因,▁because,0.3203125,0.7963867
东,▁east,0.7060547,0.89208984
官,▁official,0.24829102,0.62158203
最,▁best,0.44702148,0.77783203
付,▁pay,0.10192871,0.39282227
