zh,zh_CN,zh_TW
大,大,大
中,中,中
文,文,文
新,新,新
有,有,有
三,三,三
王,王,王
年,年,年
高,高,高
法,法,法
名,名,名
社,社,社
为,为,為
南,南,南
家,家,家
部,部,部
女,女,女
太,太,太
金,金,金
北,北,北
我,我,我
可,可,可
理,理,理
木,木,木
世,世,世
街,街,街
最,最,最
手,手,手
主,主,主
五,五,五
多,多,多
四,四,四
也,也,也
古,古,古
同,同,同
政,政,政
少,少,少
工,工,工
八,八,八
力,力,力
風,风,風
更,更,更
特,特,特
其,其,其
夫,夫,夫
常,常,常
夏,夏,夏
言,言,言
先,先,先
已,已,已
火,火,火
向,向,向
那,那,那
友,友,友
或,或,或
则,则,則
七,七,七
湖,湖,湖
例,例,例
鉄,铁,鐵
然,然,然
隊,队,隊
只,只,只
大,大,大
死,死,死
左,左,左
若,若,若
足,足,足
再,再,再
母,母,母
座,座,座
丸,丸,丸
项,项,項
员,员,員
武,武,武
府,府,府
健,健,健
后,后,後
和,和,和
区,区,區
在,在,在
間,间,間
书,书,書
以,以,以
市,市,市
国,国,國
门,门,門
东,东,東
田,田,田
从,从,從
好,好,好
群,群,群
他,他,他
屋,屋,屋
语,语,語
生,生,生
如,如,如
郎,郎,郎
不,不,不
的,的,的
人,人,人
道,道,道
見,见,見
形,形,形
小,小,小
歌,歌,歌
系,系,系
这,这,這
時,时,時
町,町,町
二,二,二
式,式,式
君,君,君
