en,de,en_tok,de_tok,en_to_de_prob,de_to_en_prob
▁American,▁amerikan,3725,106447,0.3745,0.573
▁Bible,▁Bibel,15895,145636,0.5884,0.7666
▁British,▁bri,7149,4008,0.4404,0.04172
▁Chinese,▁Chines,8974,212951,0.4927,0.4543
▁Christmas,▁Weihnachten,9271,159295,0.86,0.895
▁English,▁Englisch,4645,125056,0.569,0.853
▁French,▁Französ,6987,172782,0.226,0.5723
▁German,▁Deutsch,5132,21280,0.3923,0.711
▁God,▁Gott,2992,27400,0.898,0.7886
▁I,▁ich,590,4710,0.658,0.7505
▁Jew,▁Jude,9195,75093,0.3577,0.729
▁Latin,▁Latein,15492,229885,0.4065,0.701
▁Russian,▁Russ,11200,46856,0.3994,0.4595
▁Senate,▁Senat,17598,208108,0.4792,0.202
▁ability,▁Fähigkeit,7374,178863,0.1842,0.61
▁abstract,▁abstra,9949,23822,0.596,0.4214
▁academic,▁akade,15459,168193,0.5405,0.3823
▁accept,▁akzeptieren,6502,190037,0.2563,0.6484
▁acceptance,▁Annahme,24891,157658,0.1802,0.1934
▁accepted,▁angenommen,10814,118892,0.2725,0.3638
▁accessible,▁zugänglich,18516,196825,0.0841,0.5063
▁accessories,▁Zubehör,20071,145178,0.1611,0.6313
▁accident,▁Unfall,10764,135691,0.4832,0.853
▁accommodation,▁Unterkunft,23205,100555,0.4468,0.4468
▁accompanied,▁begleitet,21493,152803,0.533,0.3694
▁accompany,▁begleiten,24834,204405,0.284,0.4841
▁account,▁Konto,3185,113485,0.663,0.7393
▁acid,▁Säure,6898,224938,0.4705,0.8354
▁acoustic,▁akus,41046,200157,0.2095,0.214
▁act,▁Akt,2027,123264,0.328,0.4067
▁action,▁Aktion,3105,110902,0.2356,0.647
▁activated,▁aktiviert,29663,161149,0.1577,0.5405
▁active,▁aktiv,6066,32669,0.565,0.833
▁activities,▁Aktivitäten,5728,112087,0.1797,0.6987
▁actor,▁Schauspieler,14250,126349,0.568,0.8877
▁actress,▁Schauspielerin,25710,173916,0.687,0.818
▁actually,▁tatsächlich,4247,96504,0.2057,0.461
▁adapted,▁angepasst,25732,193056,0.1368,0.333
▁add,▁hinzufügen,1843,154158,0.1385,0.8145
▁added,▁hinzugefügt,4192,183603,0.2075,0.8335
▁additional,▁zusätz,5942,56837,0.0969,0.5503
▁address,▁Adresse,3986,96802,0.3337,0.7715
▁administration,▁Verwaltung,11588,67540,0.2905,0.3079
▁adopt,▁adop,24398,8408,0.535,0.3147
▁adults,▁Erwachsene,14257,158185,0.6475,0.713
▁advantage,▁Vorteil,9623,130139,0.3667,0.707
▁advantages,▁Vorteile,17927,90003,0.5547,0.552
▁adventure,▁Abenteuer,18954,160040,0.6494,0.7437
▁affairs,▁Angele,19308,152396,0.667,0.2233
