en,fr,en_tok,fr_tok,en_to_fr_prob,fr_to_en_prob
▁African,▁africain,10742,127348,0.5913,0.766
▁American,▁américain,3725,60385,0.3816,0.8228
▁Asian,▁asiatique,18439,213440,0.9136,0.687
▁Catholic,▁catholique,14743,123902,0.3909,0.682
▁Chinese,▁chinois,8974,99101,0.791,0.742
▁Christian,▁chrétien,8103,220080,0.682,0.8794
▁Christmas,▁Noël,9271,73719,0.579,0.923
▁DNA,▁ADN,11999,113894,0.4702,0.7495
▁English,▁anglais,4645,54619,0.608,0.6704
▁European,▁européen,7737,112299,0.4675,0.892
▁French,▁français,6987,24913,0.3027,0.6406
▁German,▁allemand,5132,71315,0.3787,0.871
▁God,▁Dieu,2992,26155,0.775,0.868
▁I,▁je,590,1957,0.652,0.8086
▁Indian,▁indien,6481,101666,0.5015,0.7476
▁Italian,▁italien,12710,56065,0.2035,0.822
▁Japanese,▁japonais,11430,107707,0.3823,0.605
▁Mexican,▁mexic,24019,29540,0.8135,0.3162
▁Mr,▁Monsieur,3046,55992,0.6562,0.3508
▁Mrs,▁Madame,7336,40120,0.264,0.254
▁Muslim,▁musul,26223,86312,0.8633,0.6245
▁Russian,▁russe,11200,85417,0.4912,0.821
▁Senate,▁Sénat,17598,203950,0.8516,0.6147
▁Soviet,▁sovi,17569,110220,0.4783,0.2146
▁abandoned,▁abandonné,24479,221003,0.601,0.6953
▁able,▁capable,3326,13920,0.361,0.434
▁absolute,▁absolu,6943,41113,0.6943,0.677
▁absolutely,▁absolument,11222,105185,0.286,0.7256
▁absorb,▁absorber,33398,102348,0.3955,0.4275
▁abstract,▁abstrait,9949,184858,0.4236,0.907
▁abuse,▁abus,16083,87725,0.2542,0.5044
▁accept,▁accepter,6502,123076,0.5015,0.5166
▁accepted,▁accepté,10814,172364,0.4636,0.736
▁accepts,▁accepte,44275,198920,0.7915,0.509
▁access,▁accès,3684,73466,0.5273,0.7905
▁accessories,▁accessoires,20071,70442,0.62,0.6973
▁accessory,▁accessoire,43105,204808,0.7124,0.7847
▁accommodation,▁logement,23205,88474,0.1323,0.1653
▁according,▁selon,4523,29161,0.2869,0.7715
▁account,▁compte,3185,21495,0.731,0.2878
▁accounts,▁comptes,12210,104555,0.4702,0.4675
▁acid,▁acide,6898,153631,0.9146,0.8486
▁acids,▁acides,22589,229602,0.9453,0.7163
▁acquired,▁acquis,18453,91132,0.5723,0.4292
▁acrobat,▁acrob,213684,162672,0.1664,0.253
▁acrylic,▁acrylique,34499,177345,0.6035,0.4702
▁active,▁actif,6066,101605,0.6294,0.8384
▁activities,▁activités,5728,51900,0.6772,0.8193
▁activity,▁activité,5640,79478,0.734,0.731
▁actor,▁acteur,14250,112505,0.766,0.9556
▁actors,▁acteurs,23436,95563,0.5605,0.867
▁actress,▁actrice,25710,147546,0.9404,0.886
▁adapt,▁adapter,14311,21850,0.1993,0.3884
▁adapted,▁adapté,25732,83456,0.2817,0.647
▁add,▁ajouter,1843,72662,0.635,0.554
▁added,▁ajouté,4192,89849,0.4814,0.8813
▁address,▁adresse,3986,52517,0.704,0.9136
▁addresses,▁adresses,21090,203741,0.737,0.7295
▁adds,▁ajoute,15985,111330,0.6816,0.6304
▁adjust,▁ajust,8017,31403,0.1759,0.4995
▁adjustable,▁réglable,31873,163099,0.1107,0.7754
▁administrative,▁administratif,19323,195342,0.537,0.5103
▁admire,▁admir,48663,30579,0.2266,0.4375
▁admitted,▁admis,16128,103923,0.2473,0.6177
▁adopted,▁adopté,13861,164036,0.42,0.8604
▁adult,▁adulte,11787,119218,0.6704,0.757
▁adults,▁adultes,14257,106683,0.658,0.772
▁advance,▁avance,8484,70164,0.4778,0.2615
▁advantage,▁avantage,9623,112198,0.864,0.789
▁advantages,▁avantages,17927,74224,0.787,0.648
▁adventure,▁aventure,18954,125357,0.696,0.83
▁adventures,▁aventures,37995,197111,0.667,0.8516
▁advertising,▁publicité,16171,94599,0.281,0.4348
▁affair,▁affaire,34616,101609,0.6875,0.2935
▁affairs,▁affaires,19308,61640,0.8765,0.4023
▁affiliated,▁affili,57920,21208,0.1804,0.3237
▁after,▁après,1452,15250,0.6763,0.8833
▁against,▁contre,2691,16224,0.683,0.7983
▁age,▁âge,3911,79689,0.4253,0.922
▁agencies,▁agences,13954,221201,0.1967,0.5635
▁agency,▁agence,11567,150400,0.267,0.5728
▁aggressive,▁agres,28148,98414,0.562,0.1212
▁agreement,▁accord,9352,12598,0.8286,0.7246
▁agreements,▁accords,26569,134616,0.592,0.4202
▁agricultural,▁agricole,16352,113917,0.3325,0.5566
▁alarm,▁alarme,21756,207073,0.1578,0.9463
▁alcohol,▁alcool,12678,151815,0.767,0.583
▁alive,▁vivant,14471,104666,0.556,0.3708
▁all,▁tous,832,9570,0.4834,0.811
▁allows,▁permet,8563,22244,0.424,0.4075
▁ally,▁alli,51305,47238,0.728,0.0984
▁almost,▁presque,4461,49466,0.835,0.6313
▁alone,▁seul,6563,32971,0.8296,0.6353
