en,zh,en_tok,zh_tok,en_to_zh_prob,zh_to_en_prob,fr,fr_tok,en_to_fr_prob,fr_to_en_prob,de,de_tok,en_to_de_prob,de_to_en_prob,ru,ru_tok,en_to_ru_prob,ru_to_en_prob
▁I,我,590,235509,0.799,0.577,▁je,1957,0.652,0.8086,▁ich,4710,0.658,0.7505,▁я,4293,0.5845,0.6416
▁actor,演员,14250,67677,0.4226,0.734,▁acteur,112505,0.766,0.9556,▁Schauspieler,126349,0.568,0.8877,▁актер,217549,0.1527,0.9165
▁against,反,2691,236282,0.244,0.2336,▁contre,16224,0.683,0.7983,▁gegen,13930,0.4844,0.8066,▁против,45438,0.8496,0.679
▁almost,几乎,4461,49760,0.1665,0.721,▁presque,49466,0.835,0.6313,▁fast,4847,0.89,0.3535,▁почти,58226,0.6626,0.521
▁already,已经,3303,11546,0.1329,0.5254,▁déjà,24112,0.7188,0.885,▁schon,13497,0.644,0.6445,▁уже,19044,0.761,0.7524
▁and,和,578,235581,0.267,0.328,▁et,1008,0.7803,0.8975,▁und,930,0.78,0.892,▁и,1153,0.591,0.7666
▁answer,答,3448,236661,0.677,0.647,▁réponse,45277,0.6626,0.658,▁Antwort,60908,0.2908,0.5864,▁ответ,44008,0.292,0.666
▁apple,苹果,15491,60088,0.606,0.674,▁pomme,124805,0.668,0.953,▁Apfel,170035,0.6,0.79,▁ябло,115522,0.2343,0.7427
▁arrow,矢,9702,237440,0.2244,0.739,▁flèche,235111,0.4954,0.749,▁Pfe,54231,0.872,0.03873,▁стре,46202,0.716,0.1764
▁attack,攻,6279,236836,0.1969,0.5493,▁attaque,149196,0.7236,0.85,▁Angriff,160580,0.718,0.752,▁напа,157891,0.2329,0.4995
▁author,作者,3426,21739,0.404,0.6294,▁auteur,88567,0.707,0.884,▁Autor,33641,0.731,0.771,▁автор,89094,0.2622,0.862
▁automatic,自动,17234,38226,0.6816,0.6255,▁automatique,83215,0.8003,0.7817,▁automat,8229,0.2925,0.2406,▁автомати,79344,0.3926,0.548
▁autumn,秋,22119,236714,0.7505,0.7603,▁automne,104798,0.6284,0.626,▁Herbst,81439,0.5015,0.5444,▁осень,111047,0.549,0.62
▁bad,差,3338,236631,0.2825,0.0903,▁mauvais,83113,0.6797,0.901,▁schlecht,106686,0.3684,0.7007,▁плохо,102787,0.1677,0.522
▁beautiful,美,4964,235747,0.2832,0.3213,▁beau,18532,0.4888,0.5264,▁schön,45481,0.78,0.527,▁прекра,50773,0.1787,0.3174
