en,de,en_to_de_prob,de_to_en_prob
▁Chen,▁Chen,0.56396484,0.5703125
▁D,▁D,0.85595703,0.5756836
▁English,▁engl,0.61035156,0.20703125
▁Germany,▁Deutschland,0.9838867,0.97998047
▁I,▁ich,0.71240234,0.9555664
▁Li,▁Li,0.46411133,0.25732422
▁Tang,▁Tang,0.59228516,0.15441895
▁again,▁wieder,0.90283203,0.9375
▁all,▁alle,0.7236328,0.93603516
▁already,▁schon,0.8330078,0.86279297
▁also,▁auch,0.8144531,0.6899414
▁and,▁und,0.89697266,0.98291016
▁as,▁als,0.44140625,0.86865234
▁back,▁Rück,0.8051758,0.88964844
▁ball,▁Ball,0.7216797,0.9604492
▁base,▁Bas,0.36499023,0.39282227
▁because,▁weil,0.87597656,0.9116211
▁before,▁vor,0.7207031,0.21008301
▁best,▁best,0.47460938,0.9042969
▁between,▁zwischen,0.7973633,0.8984375
▁big,▁groß,0.56152344,0.61572266
▁body,▁Kör,0.7114258,0.8955078
▁book,▁Buch,0.98339844,0.9746094
▁border,▁Gren,0.79345703,0.04574585
▁bright,▁hell,0.8823242,0.28515625
▁building,▁Bau,0.13977051,0.22644043
▁business,▁Geschäft,0.59765625,0.79541016
▁can,▁kann,0.86328125,0.8823242
▁city,▁Stadt,0.9794922,0.67626953
▁come,▁kommen,0.7416992,0.60546875
▁country,▁Land,0.5473633,0.41064453
▁county,▁Landkreis,0.14807129,0.31079102
▁culture,▁Kultur,0.9550781,0.9770508
▁day,▁Tag,0.984375,0.9785156
▁death,▁Tod,0.88623047,0.9560547
▁degree,▁Grad,0.83447266,0.7836914
▁door,▁Tür,0.9370117,0.98535156
▁east,▁Ost,0.61572266,0.8623047
▁edge,▁Rand,0.62890625,0.65771484
▁eight,▁acht,0.6958008,0.60058594
▁electric,▁elektr,0.85058594,0.63134766
▁example,▁Beispiel,0.7973633,0.8774414
▁family,▁Familie,0.98876953,0.9897461
▁festival,▁Fest,0.5722656,0.34423828
▁field,▁Feld,0.9238281,0.94970703
▁fire,▁Feuer,0.9404297,0.9848633
▁five,▁fünf,0.7885742,0.9790039
▁food,▁Ess,0.3581543,0.060028076
▁foot,▁Fuß,0.86279297,0.69677734
▁forest,▁Wald,0.9248047,0.7836914
▁four,▁vier,0.90625,0.9736328
▁from,▁von,0.81689453,0.61035156
▁go,▁ge,0.875,0.19824219
▁gold,▁Gold,0.9296875,0.97998047
▁good,▁gut,0.7788086,0.79052734
▁group,▁Gruppe,0.9555664,0.9814453
▁guest,▁Gast,0.8227539,0.96191406
▁hand,▁Hand,0.9477539,0.97998047
▁he,▁er,0.9399414,0.8935547
▁heart,▁Herz,0.9785156,0.98876953
▁heavy,▁schwer,0.85253906,0.56640625
▁high,▁hoch,0.6176758,0.8623047
