en,fr,en_tok,fr_tok,en_to_fr_prob,fr_to_en_prob
▁American,▁américain,3082,17153,0.191,0.69
▁Congress,▁Congrès,11559,20274,0.2319,0.3826
▁English,▁anglais,4223,16464,0.2964,0.591
▁European,▁europé,7824,17611,0.1449,0.156
▁French,▁français,5176,7691,0.434,0.524
▁German,▁allemand,5332,22517,0.3665,0.72
▁God,▁Dieu,4177,25659,0.5986,0.708
▁I,▁je,306,1444,0.316,0.7134
▁Italian,▁italien,10545,16486,0.3386,0.698
▁Mr,▁Monsieur,3237,28529,0.3792,0.241
▁Mrs,▁Madame,6285,18080,0.3044,0.275
▁Russian,▁russe,10637,28280,0.572,0.69
▁able,▁capable,2221,15390,0.057,0.148
▁according,▁selon,5034,14864,0.1942,0.2534
▁account,▁compte,3633,16731,0.2778,0.1361
▁after,▁après,1156,7907,0.3335,0.561
▁against,▁contre,2750,8474,0.2917,0.3635
▁agreement,▁accord,17327,15017,0.2458,0.3145
▁all,▁tous,599,9411,0.308,0.405
▁allows,▁permet,6511,14924,0.1698,0.2727
▁alone,▁seul,7432,20536,0.4595,0.271
▁already,▁déjà,2307,20737,0.429,0.4023
▁always,▁toujours,2337,15237,0.398,0.4312
▁among,▁parmi,4249,25763,0.1812,0.4026
▁and,▁et,322,634,0.665,0.656
▁arch,▁arc,3190,15232,0.2238,0.279
▁are,▁sont,526,3435,0.4324,0.376
▁arm,▁bras,5075,13137,0.3184,0.489
▁around,▁autour,2820,26269,0.09204,0.422
▁authors,▁auteurs,15717,19117,0.1328,0.4817
▁available,▁disponible,3625,26318,0.1067,0.4756
▁average,▁moyenne,6588,28504,0.2484,0.3723
▁bag,▁sac,19548,7067,0.2488,0.404
▁band,▁bande,3719,27628,0.1991,0.2869
▁battle,▁bataille,10555,26962,0.1731,0.6104
▁beauty,▁beaut,15409,6562,0.1693,0.1648
▁becomes,▁devient,7415,15210,0.302,0.186
▁bed,▁lit,6592,11872,0.4033,0.4255
▁before,▁avant,1434,10042,0.4133,0.507
▁beginning,▁début,6763,13222,0.1815,0.2925
▁begins,▁commence,16410,24108,0.193,0.0966
▁best,▁meilleur,1900,26713,0.3196,0.3328
▁between,▁entre,1546,2637,0.2502,0.2485
▁big,▁grand,4802,4595,0.3494,0.1279
▁blood,▁sang,10416,13625,0.617,0.6743
▁body,▁corps,3573,14913,0.469,0.5654
▁bomb,▁bom,13585,18523,0.2559,0.1747
▁book,▁livre,3143,20207,0.5312,0.4705
▁bottom,▁bas,5970,2362,0.16,0.0744
▁brand,▁marque,14982,29452,0.1688,0.2585
