en,zh,en_tok,zh_tok,en_to_zh_prob,zh_to_en_prob
▁I,我,306,30672,0.4385,0.698
▁above,上,2038,30429,0.3757,0.229
▁active,活,6136,31704,0.1412,0.1057
▁add,加,788,30666,0.2708,0.1312
▁after,后,1156,30822,0.3342,0.1483
▁again,再,1449,31733,0.2115,0.5176
▁all,全,599,30753,0.175,0.2103
▁already,已,2307,31290,0.5645,0.1981
▁and,和,322,30503,0.1873,0.4578
▁army,军,9987,31867,0.4397,0.63
▁at,在,472,30505,0.5444,0.2507
▁ball,球,8287,31539,0.742,0.77
▁base,基,2967,31359,0.2998,0.2244
▁beautiful,美,9560,30630,0.4932,0.4338
▁because,因,1363,31570,0.6113,0.444
▁before,前,1434,30658,0.5254,0.479
▁belong,属,6852,31360,0.1597,0.1622
▁benefit,利,14169,31107,0.1986,0.1361
▁best,最,1900,30878,0.4294,0.274
▁big,大,4802,30257,0.8203,0.505
▁body,体,3573,30988,0.1315,0.7144
▁book,书,3143,31900,0.5347,0.6157
▁border,边,5139,31993,0.553,0.4639
▁bridge,桥,12945,31749,0.662,0.7993
▁bright,明,11785,30592,0.454,0.2832
▁calculation,计,13944,31466,0.356,0.083
▁can,可,508,30682,0.3574,0.2612
▁candidate,候,14020,31974,0.413,0.1708
▁cave,洞,24230,31886,0.527,0.676
▁change,变,1735,31462,0.4355,0.4556
▁chapter,章,16385,31374,0.2878,0.2458
▁character,字,2931,30578,0.1464,0.5273
▁choose,选,6755,31333,0.488,0.2023
▁city,城,4272,30626,0.214,0.479
▁clear,清,2821,30989,0.2993,0.3643
▁cloud,云,9570,31784,0.45,0.602
▁collect,收,6314,31997,0.2025,0.1259
▁come,来,2041,30805,0.554,0.4878
▁complete,完,4866,31366,0.514,0.251
▁control,控,2761,31617,0.3323,0.31
▁corner,角,11155,31432,0.452,0.387
▁country,国,4234,30356,0.2482,0.6787
▁county,县,15178,30684,0.64,0.694
▁create,创,1653,31441,0.4387,0.1709
▁culture,文,9257,30333,0.533,0.1294
▁dance,舞,17948,31939,0.4895,0.805
▁day,日,2462,30325,0.5977,0.256
▁death,死,4892,31580,0.6,0.3035
▁deep,深,6483,31947,0.688,0.672
▁delete,删,5217,31916,0.771,0.6147
▁department,部,14311,30636,0.1184,0.1349
▁disappear,消,25417,31276,0.3965,0.09296
▁district,区,6474,30467,0.291,0.504
▁door,门,3050,31649,0.765,0.624
▁dot,点,8329,30940,0.712,0.4236
▁double,双,3765,31960,0.3833,0.223
▁down,下,1623,30557,0.3953,0.222
▁earth,土,8437,31181,0.3577,0.5796
▁east,东,9755,30979,0.922,0.7695
▁effect,效,2779,31944,0.2646,0.1443
▁eight,八,9475,31044,0.8403,0.905
▁electric,电,12646,31679,0.6143,0.563
▁end,结,1095,31320,0.2084,0.12415
▁every,每,1432,31951,0.707,0.4485
▁example,例,1342,31507,0.2776,0.61
▁exchange,交,14523,31398,0.2898,0.10126
▁exhibition,展,29130,31599,0.516,0.2278
▁face,面,3700,30806,0.3213,0.4683
▁faith,信,10847,30689,0.5757,0.10626
▁festival,节,16005,31669,0.5464,0.4536
▁field,田,1746,30395,0.586,0.6143
