en,zh,en_tok,zh_tok,en_to_zh_prob,zh_to_en_prob,fr,fr_tok,en_to_fr_prob,fr_to_en_prob,de,de_tok,en_to_de_prob,de_to_en_prob,ru,ru_tok,en_to_ru_prob,ru_to_en_prob
▁I,我,306,30672,0.4385,0.698,▁je,1444,0.316,0.7134,▁ich,7975,0.3635,0.7236,▁я,2282,0.413,0.7295
▁after,后,1156,30822,0.3342,0.1483,▁après,7907,0.3335,0.561,▁nach,2644,0.3655,0.472,▁после,9017,0.523,0.846
▁all,全,599,30753,0.175,0.2103,▁tous,9411,0.308,0.405,▁alle,4788,0.3577,0.5825,▁все,6495,0.399,0.508
▁already,已,2307,31290,0.5645,0.1981,▁déjà,20737,0.429,0.4023,▁schon,15002,0.3706,0.4976,▁уже,20203,0.644,0.774
▁and,和,322,30503,0.1873,0.4578,▁et,634,0.665,0.656,▁und,563,0.6836,0.8354,▁и,606,0.7256,0.634
▁before,前,1434,30658,0.5254,0.479,▁avant,10042,0.4133,0.507,▁vor,3764,0.4,0.33,▁перед,17702,0.275,0.5566
▁big,大,4802,30257,0.8203,0.505,▁grand,4595,0.3494,0.1279,▁gross,22683,0.1794,0.26,▁боль,9935,0.572,0.2908
▁book,书,3143,31900,0.5347,0.6157,▁livre,20207,0.5312,0.4705,▁Buch,10586,0.337,0.8267,▁кни,13024,0.5537,0.637
▁country,国,4234,30356,0.2482,0.6787,▁pays,9744,0.12006,0.594,▁Land,3172,0.1085,0.386,▁стра,8440,0.0909,0.1726
▁day,日,2462,30325,0.5977,0.256,▁jour,8694,0.678,0.637,▁Tag,10522,0.6504,0.654,▁день,22763,0.513,0.7197
▁field,田,1746,30395,0.586,0.6143,▁champ,18480,0.2479,0.4995,▁Feld,21113,0.2181,0.7734,▁поле,29235,0.3113,0.8257
▁for,为,363,30573,0.1027,0.3079,▁pour,1671,0.3464,0.369,▁für,1865,0.1421,0.3704,▁для,3807,0.1934,0.726
▁four,四,3023,30928,0.7354,0.812,▁quatre,12134,0.7026,0.5776,▁vier,8545,0.7153,0.7104,▁четы,24998,0.3967,0.552
▁high,高,1880,30528,0.4624,0.404,▁haut,22916,0.3052,0.335,▁hoch,27568,0.3528,0.3933,▁высо,15804,0.4482,0.4133
▁king,王,6989,30462,0.3962,0.6465,▁roi,14100,0.4143,0.7515,▁König,9731,0.2354,0.695,▁цар,21350,0.3235,0.4617
▁language,语,4086,31505,0.5347,0.556,▁langue,25407,0.1986,0.5015,▁Sprache,29634,0.2576,0.754,▁язы,14264,0.405,0.654
▁man,男,767,31203,0.3914,0.3032,▁homme,14738,0.6763,0.5645,▁Mann,7908,0.3335,0.6753,▁муж,20686,0.3499,0.6597
▁mother,母,5637,31763,0.4636,0.8228,▁mère,21428,0.586,0.796,▁Mutter,22411,0.6646,0.838,▁ма,2394,0.642,0.2491
▁near,近,2978,31830,0.34,0.4712,▁près,16573,0.2708,0.424,▁nahe,28208,0.1486,0.455,▁бли,14714,0.2788,0.2457
▁not,不,451,30413,0.7295,0.6206,▁pas,2331,0.3506,0.3247,▁nicht,3072,0.601,0.4993,▁не,1538,0.7417,0.5137
▁one,一,697,30287,0.63,0.793,▁un,443,0.4927,0.4575,▁ein,1011,0.447,0.3943,▁один,15515,0.295,0.8657
▁or,或,470,31391,0.4429,0.69,▁ou,2123,0.735,0.4873,▁oder,4461,0.3862,0.8,▁или,7082,0.535,0.6973
▁project,项,2060,31888,0.343,0.108,▁projet,15744,0.36,0.5176,▁projekt,27213,0.098,0.7544,▁проек,16054,0.3193,0.7026
▁seven,七,9881,31425,0.7065,0.813,▁sept,4843,0.618,0.5923,▁sieben,29447,0.61,0.7944,▁сем,18534,0.553,0.2937
▁song,歌,4823,31173,0.5317,0.687,▁chanson,25875,0.3518,0.671,▁Lied,29382,0.2004,0.781,▁пес,15536,0.5083,0.2014
▁street,街,11952,30813,0.335,0.7354,▁rue,16014,0.324,0.6777,▁Straße,22667,0.2135,0.4888,▁ули,16756,0.1501,0.595
▁this,这,445,30810,0.3936,0.6504,▁ce,2257,0.1659,0.323,▁dieses,18947,0.06116,0.4326,▁это,6408,0.205,0.435
▁three,三,2211,30457,0.731,0.5737,▁trois,7732,0.749,0.547,▁drei,9697,0.7446,0.6846,▁три,10357,0.817,0.5327
▁time,时,931,30594,0.6543,0.6797,▁temps,8714,0.1819,0.509,▁Zeit,5347,0.133,0.6953,▁время,8409,0.3608,0.8516
▁two,二,1023,30685,0.4917,0.7207,▁deux,4239,0.834,0.4583,▁zwei,7325,0.708,0.7236,▁два,11883,0.544,0.8467
▁woman,女,6114,30647,0.6953,0.8413,▁femme,15096,0.5986,0.609,▁Frau,16547,0.5933,0.512,▁женщи,22465,0.3267,0.7207
▁work,工,664,31041,0.289,0.2695,▁travail,18848,0.3604,0.5728,▁Arbeit,17561,0.2493,0.6426,▁работа,19568,0.4673,0.756
▁you,你,366,30919,0.77,0.7783,▁vous,7890,0.371,0.697,▁du,868,0.2507,0.692,▁ты,19506,0.595,0.8047
