src_lang,dest_lang,latent_lang,avg,sem95_error
zh,fr,en,0.703125,0.05560302734375
zh,es,en,0.7548828125,0.046966552734375
zh,de,en,0.6484375,0.04376220703125
zh,ru,en,0.66796875,0.052215576171875
fr,zh,en,0.775390625,0.038909912109375
fr,es,en,0.87060546875,0.044525146484375
fr,de,en,0.77490234375,0.0478515625
fr,ru,en,0.83203125,0.0462646484375
es,zh,en,0.7392578125,0.047882080078125
es,fr,en,0.81640625,0.057159423828125
es,de,en,0.8193359375,0.040130615234375
es,ru,en,0.837890625,0.04736328125
de,zh,en,0.7490234375,0.04779052734375
de,fr,en,0.7529296875,0.048065185546875
de,es,en,0.81494140625,0.039215087890625
de,ru,en,0.79248046875,0.042999267578125
ru,zh,en,0.78662109375,0.043548583984375
ru,fr,en,0.830078125,0.05035400390625
ru,es,en,0.86328125,0.037933349609375
ru,de,en,0.8203125,0.040191650390625
en,fr,zh,0.86328125,0.032989501953125
en,es,zh,0.9140625,0.0291748046875
en,de,zh,0.81884765625,0.04119873046875
en,ru,zh,0.8974609375,0.036102294921875
fr,en,zh,0.90576171875,0.0276641845703125
fr,es,zh,0.90283203125,0.035614013671875
fr,de,zh,0.77978515625,0.04705810546875
fr,ru,zh,0.8427734375,0.0435791015625
es,en,zh,0.91748046875,0.0309906005859375
es,fr,zh,0.8505859375,0.0474853515625
es,de,zh,0.8271484375,0.038665771484375
es,ru,zh,0.84619140625,0.04534912109375
de,en,zh,0.83447265625,0.034820556640625
de,fr,zh,0.7763671875,0.042572021484375
de,es,zh,0.845703125,0.0322265625
de,ru,zh,0.80078125,0.04217529296875
ru,en,zh,0.89794921875,0.034454345703125
ru,fr,zh,0.85107421875,0.0430908203125
ru,es,zh,0.8818359375,0.032958984375
ru,de,zh,0.826171875,0.038787841796875
en,zh,fr,0.84716796875,0.035552978515625
en,es,fr,0.904296875,0.0311737060546875
en,de,fr,0.81494140625,0.04290771484375
en,ru,fr,0.89404296875,0.0364990234375
zh,en,fr,0.767578125,0.043548583984375
zh,es,fr,0.767578125,0.0455322265625
zh,de,fr,0.64697265625,0.045166015625
zh,ru,fr,0.6689453125,0.052001953125
es,en,fr,0.91552734375,0.03143310546875
es,zh,fr,0.79150390625,0.0438232421875
es,de,fr,0.82666015625,0.0374755859375
es,ru,fr,0.845703125,0.04510498046875
de,en,fr,0.8212890625,0.036346435546875
de,zh,fr,0.7841796875,0.046630859375
de,es,fr,0.82763671875,0.035919189453125
de,ru,fr,0.7978515625,0.0423583984375
ru,en,fr,0.8974609375,0.034149169921875
ru,zh,fr,0.8173828125,0.040496826171875
ru,es,fr,0.8759765625,0.033416748046875
ru,de,fr,0.81689453125,0.04119873046875
en,zh,es,0.85302734375,0.037322998046875
en,fr,es,0.853515625,0.040435791015625
en,de,es,0.80810546875,0.045806884765625
en,ru,es,0.892578125,0.035797119140625
zh,en,es,0.76220703125,0.045501708984375
zh,fr,es,0.716796875,0.056793212890625
zh,de,es,0.63671875,0.049468994140625
zh,ru,es,0.66455078125,0.05206298828125
fr,en,es,0.90380859375,0.0275421142578125
fr,zh,es,0.83349609375,0.03369140625
fr,de,es,0.77099609375,0.04852294921875
fr,ru,es,0.8388671875,0.042266845703125
de,en,es,0.8232421875,0.035186767578125
de,zh,es,0.8017578125,0.046051025390625
de,fr,es,0.75634765625,0.04754638671875
de,ru,es,0.79345703125,0.042694091796875
ru,en,es,0.90087890625,0.033233642578125
ru,zh,es,0.83154296875,0.040191650390625
ru,fr,es,0.8408203125,0.047454833984375
ru,de,es,0.8115234375,0.043365478515625
en,zh,de,0.86376953125,0.03717041015625
en,fr,de,0.85888671875,0.03900146484375
en,es,de,0.904296875,0.031280517578125
en,ru,de,0.8876953125,0.036865234375
zh,en,de,0.77490234375,0.044647216796875
zh,fr,de,0.73193359375,0.055328369140625
zh,es,de,0.76416015625,0.048248291015625
zh,ru,de,0.66357421875,0.05224609375
fr,en,de,0.908203125,0.028472900390625
fr,zh,de,0.8505859375,0.034393310546875
fr,es,de,0.8935546875,0.038116455078125
fr,ru,de,0.8330078125,0.043670654296875
es,en,de,0.91796875,0.0323486328125
es,zh,de,0.8291015625,0.04278564453125
es,fr,de,0.8544921875,0.046844482421875
es,ru,de,0.8359375,0.045928955078125
ru,en,de,0.90380859375,0.0333251953125
ru,zh,de,0.8388671875,0.0406494140625
ru,fr,de,0.85693359375,0.04541015625
ru,es,de,0.8759765625,0.0338134765625
en,zh,ru,0.86181640625,0.03680419921875
en,fr,ru,0.85791015625,0.039398193359375
en,es,ru,0.91259765625,0.02886962890625
en,de,ru,0.79052734375,0.051055908203125
zh,en,ru,0.76708984375,0.044708251953125
zh,fr,ru,0.728515625,0.055633544921875
zh,es,ru,0.77294921875,0.045135498046875
zh,de,ru,0.62890625,0.050994873046875
fr,en,ru,0.9033203125,0.028961181640625
fr,zh,ru,0.849609375,0.033447265625
fr,es,ru,0.89794921875,0.03631591796875
fr,de,ru,0.75341796875,0.0531005859375
es,en,ru,0.91650390625,0.032012939453125
es,zh,ru,0.822265625,0.042724609375
es,fr,ru,0.84619140625,0.049163818359375
es,de,ru,0.80078125,0.04498291015625
de,en,ru,0.83203125,0.0352783203125
de,zh,ru,0.8193359375,0.045867919921875
de,fr,ru,0.78271484375,0.044952392578125
de,es,ru,0.84228515625,0.034820556640625
