src_lang,dest_lang,latent_lang,avg,sem95_error
en,zh,,0.8359375,0.033447265625
en,fr,,0.8623046875,0.03265380859375
en,es,,0.91259765625,0.02862548828125
en,de,,0.818359375,0.039154052734375
en,ru,,0.8984375,0.036346435546875
zh,en,,0.77685546875,0.043212890625
zh,fr,,0.7177734375,0.0517578125
zh,es,,0.775390625,0.042388916015625
zh,de,,0.65380859375,0.042510986328125
zh,ru,,0.6640625,0.05255126953125
fr,en,,0.90673828125,0.02703857421875
fr,zh,,0.818359375,0.0308990478515625
fr,es,,0.900390625,0.0341796875
fr,de,,0.78076171875,0.043426513671875
fr,ru,,0.845703125,0.042694091796875
es,en,,0.9169921875,0.0308074951171875
es,zh,,0.78271484375,0.04156494140625
es,fr,,0.85107421875,0.046356201171875
es,de,,0.826171875,0.035858154296875
es,ru,,0.84912109375,0.044708251953125
de,en,,0.83349609375,0.035003662109375
de,zh,,0.77099609375,0.044464111328125
de,fr,,0.77197265625,0.03997802734375
de,es,,0.8408203125,0.0306243896484375
de,ru,,0.80126953125,0.042999267578125
ru,en,,0.89990234375,0.034210205078125
ru,zh,,0.81103515625,0.0394287109375
ru,fr,,0.8525390625,0.04315185546875
ru,es,,0.88232421875,0.03277587890625
ru,de,,0.82763671875,0.03839111328125
