src_lang,dest_lang,latent_lang,avg,sem95_error
zh,fr,en,0.1705322265625,0.060546875
zh,es,en,0.0743408203125,0.0443115234375
zh,de,en,0.09576416015625,0.042022705078125
zh,ru,en,0.247314453125,0.0653076171875
fr,zh,en,4.947185516357422e-05,8.440017700195312e-05
fr,es,en,0.12030029296875,0.056640625
fr,de,en,0.068359375,0.03570556640625
fr,ru,en,0.427978515625,0.07958984375
es,zh,en,3.153085708618164e-05,5.2809715270996094e-05
es,fr,en,0.499755859375,0.0758056640625
es,de,en,0.33056640625,0.08026123046875
es,ru,en,0.4931640625,0.08038330078125
de,zh,en,9.85860824584961e-05,0.00018525123596191406
de,fr,en,0.380859375,0.07330322265625
de,es,en,0.167236328125,0.060333251953125
de,ru,en,0.435302734375,0.07733154296875
ru,zh,en,5.91278076171875e-05,0.00010281801223754883
ru,fr,en,0.486328125,0.07781982421875
ru,es,en,0.283935546875,0.0740966796875
ru,de,en,0.3232421875,0.07830810546875
en,fr,zh,0.486572265625,0.08197021484375
en,es,zh,0.424560546875,0.07904052734375
en,de,zh,0.4306640625,0.07794189453125
en,ru,zh,0.62744140625,0.0701904296875
fr,en,zh,0.0009708404541015625,0.00014102458953857422
fr,es,zh,0.2841796875,0.07574462890625
fr,de,zh,0.13037109375,0.045562744140625
fr,ru,zh,0.481689453125,0.080078125
es,en,zh,0.0006265640258789062,0.00013434886932373047
es,fr,zh,0.55224609375,0.0777587890625
es,de,zh,0.482177734375,0.08172607421875
es,ru,zh,0.541015625,0.07659912109375
de,en,zh,0.0007915496826171875,0.0001875162124633789
de,fr,zh,0.45703125,0.07763671875
de,es,zh,0.35009765625,0.07855224609375
de,ru,zh,0.50634765625,0.07867431640625
ru,en,zh,0.002094268798828125,0.0018072128295898438
ru,fr,zh,0.45947265625,0.08123779296875
ru,es,zh,0.50146484375,0.08013916015625
ru,de,zh,0.4521484375,0.08038330078125
en,zh,fr,8.040666580200195e-05,0.00011622905731201172
en,es,fr,0.347900390625,0.08038330078125
en,de,fr,0.40234375,0.0791015625
en,ru,fr,0.57958984375,0.074462890625
zh,en,fr,0.002223968505859375,0.0012922286987304688
zh,es,fr,0.0888671875,0.049163818359375
zh,de,fr,0.11126708984375,0.045623779296875
zh,ru,fr,0.1865234375,0.057373046875
es,en,fr,0.0008554458618164062,0.00018334388732910156
es,zh,fr,3.421306610107422e-05,4.83393669128418e-05
es,de,fr,0.4150390625,0.08270263671875
es,ru,fr,0.4716796875,0.07489013671875
de,en,fr,0.0009603500366210938,0.00015938282012939453
de,zh,fr,0.00013756752014160156,0.00026106834411621094
de,es,fr,0.201904296875,0.0634765625
de,ru,fr,0.42431640625,0.07415771484375
ru,en,fr,0.0010251998901367188,0.0002034902572631836
ru,zh,fr,0.00016045570373535156,0.0002868175506591797
ru,es,fr,0.427734375,0.08001708984375
ru,de,fr,0.413818359375,0.0782470703125
en,zh,es,4.1365623474121094e-05,6.127357482910156e-05
en,fr,es,0.56201171875,0.07000732421875
en,de,es,0.341064453125,0.077392578125
en,ru,es,0.529296875,0.074462890625
zh,en,es,0.0020160675048828125,0.0009050369262695312
zh,fr,es,0.2186279296875,0.060028076171875
zh,de,es,0.09320068359375,0.038970947265625
zh,ru,es,0.1610107421875,0.052490234375
fr,en,es,0.0012922286987304688,0.0001710653305053711
fr,zh,es,6.186962127685547e-05,9.60230827331543e-05
fr,de,es,0.08282470703125,0.039764404296875
fr,ru,es,0.3193359375,0.06805419921875
de,en,es,0.0010576248168945312,0.00018477439880371094
de,zh,es,0.00021314620971679688,0.0003914833068847656
de,fr,es,0.456787109375,0.0731201171875
de,ru,es,0.3701171875,0.07342529296875
ru,en,es,0.0013608932495117188,0.0005898475646972656
ru,zh,es,9.340047836303711e-05,0.0001583099365234375
ru,fr,es,0.50439453125,0.0736083984375
ru,de,es,0.3681640625,0.07977294921875
en,zh,de,3.796815872192383e-05,4.565715789794922e-05
en,fr,de,0.5439453125,0.07232666015625
en,es,de,0.295654296875,0.070556640625
en,ru,de,0.489990234375,0.07818603515625
zh,en,de,0.0015172958374023438,0.0003561973571777344
zh,fr,de,0.2156982421875,0.056304931640625
zh,es,de,0.0775146484375,0.040679931640625
zh,ru,de,0.16650390625,0.055755615234375
fr,en,de,0.001430511474609375,0.00021326541900634766
fr,zh,de,2.759695053100586e-05,4.798173904418945e-05
fr,es,de,0.191162109375,0.06475830078125
fr,ru,de,0.356201171875,0.07568359375
es,en,de,0.0009937286376953125,0.0002014636993408203
es,zh,de,8.702278137207031e-06,9.715557098388672e-06
es,fr,de,0.54736328125,0.07373046875
es,ru,de,0.4013671875,0.075927734375
ru,en,de,0.0010585784912109375,0.00022649765014648438
ru,zh,de,1.6450881958007812e-05,1.8417835235595703e-05
ru,fr,de,0.459716796875,0.07293701171875
ru,es,de,0.37744140625,0.08062744140625
en,zh,ru,0.00205230712890625,0.002857208251953125
en,fr,ru,0.54443359375,0.07769775390625
en,es,ru,0.4873046875,0.076416015625
en,de,ru,0.464111328125,0.07867431640625
zh,en,ru,0.004032135009765625,0.0029315948486328125
zh,fr,ru,0.360107421875,0.0711669921875
zh,es,ru,0.1485595703125,0.06005859375
zh,de,ru,0.1878662109375,0.061004638671875
fr,en,ru,0.00201416015625,0.0010700225830078125
fr,zh,ru,0.0007491111755371094,0.0012149810791015625
fr,es,ru,0.316162109375,0.07757568359375
fr,de,ru,0.161865234375,0.054229736328125
es,en,ru,0.0035915374755859375,0.00493621826171875
es,zh,ru,0.00090789794921875,0.0013523101806640625
es,fr,ru,0.615234375,0.070556640625
es,de,ru,0.492919921875,0.08026123046875
de,en,ru,0.0020771026611328125,0.0012731552124023438
de,zh,ru,0.0019741058349609375,0.002796173095703125
de,fr,ru,0.52734375,0.07476806640625
de,es,ru,0.38525390625,0.08026123046875
