src_lang,dest_lang,latent_lang,avg,sem95_error
zh,fr,en,0.008636474609375,0.0123748779296875
zh,es,en,0.01192474365234375,0.01551055908203125
zh,de,en,0.0159759521484375,0.0073699951171875
zh,ru,en,0.00901031494140625,0.01531219482421875
fr,zh,en,0.007480621337890625,0.00438690185546875
fr,es,en,0.0036373138427734375,0.001285552978515625
fr,de,en,0.0096893310546875,0.004535675048828125
fr,ru,en,0.0182647705078125,0.0172576904296875
es,zh,en,0.00679779052734375,0.003406524658203125
es,fr,en,0.0023250579833984375,0.001201629638671875
es,de,en,0.01030731201171875,0.004199981689453125
es,ru,en,0.006381988525390625,0.00402069091796875
de,zh,en,0.01181793212890625,0.004364013671875
de,fr,en,0.00267791748046875,0.001461029052734375
de,es,en,0.0030002593994140625,0.0014429092407226562
de,ru,en,0.01004791259765625,0.015045166015625
ru,zh,en,0.005466461181640625,0.0025691986083984375
ru,fr,en,0.0027904510498046875,0.0013723373413085938
ru,es,en,0.004627227783203125,0.0032138824462890625
ru,de,en,0.01441192626953125,0.00626373291015625
en,fr,zh,0.361328125,0.0618896484375
en,es,zh,0.4765625,0.056488037109375
en,de,zh,0.2861328125,0.06256103515625
en,ru,zh,0.231689453125,0.0625
fr,en,zh,0.004840850830078125,0.0007071495056152344
fr,es,zh,0.393798828125,0.057403564453125
fr,de,zh,0.1781005859375,0.052398681640625
fr,ru,zh,0.14208984375,0.05419921875
es,en,zh,0.003574371337890625,0.0006427764892578125
es,fr,zh,0.29541015625,0.056488037109375
es,de,zh,0.17626953125,0.04815673828125
es,ru,zh,0.12457275390625,0.046478271484375
de,en,zh,0.00844573974609375,0.001735687255859375
de,fr,zh,0.1971435546875,0.051666259765625
de,es,zh,0.314697265625,0.057464599609375
de,ru,zh,0.11273193359375,0.048797607421875
ru,en,zh,0.005664825439453125,0.002674102783203125
ru,fr,zh,0.3095703125,0.060638427734375
ru,es,zh,0.3544921875,0.051025390625
ru,de,zh,0.224365234375,0.053314208984375
en,zh,fr,0.08447265625,0.036102294921875
en,es,fr,0.1693115234375,0.04339599609375
en,de,fr,0.181884765625,0.05047607421875
en,ru,fr,0.2291259765625,0.061981201171875
zh,en,fr,0.0267181396484375,0.016204833984375
zh,es,fr,0.1077880859375,0.035369873046875
zh,de,fr,0.12646484375,0.036407470703125
zh,ru,fr,0.1009521484375,0.041778564453125
es,en,fr,0.0034275054931640625,0.002880096435546875
es,zh,fr,0.1123046875,0.040283203125
es,de,fr,0.135986328125,0.041107177734375
es,ru,fr,0.1629638671875,0.0565185546875
de,en,fr,0.00450897216796875,0.0012407302856445312
de,zh,fr,0.11480712890625,0.03369140625
de,es,fr,0.1417236328125,0.040771484375
de,ru,fr,0.1497802734375,0.05157470703125
ru,en,fr,0.0030975341796875,0.0008745193481445312
ru,zh,fr,0.11187744140625,0.040863037109375
ru,es,fr,0.14013671875,0.04400634765625
ru,de,fr,0.1700439453125,0.04815673828125
en,zh,es,0.0758056640625,0.031097412109375
en,fr,es,0.2232666015625,0.056121826171875
en,de,es,0.1759033203125,0.043701171875
en,ru,es,0.331298828125,0.07269287109375
zh,en,es,0.0218658447265625,0.01062774658203125
zh,fr,es,0.15966796875,0.0455322265625
zh,de,es,0.1422119140625,0.04290771484375
zh,ru,es,0.1246337890625,0.052032470703125
fr,en,es,0.003475189208984375,0.001384735107421875
fr,zh,es,0.08380126953125,0.031982421875
fr,de,es,0.12408447265625,0.0360107421875
fr,ru,es,0.2342529296875,0.06427001953125
de,en,es,0.00626373291015625,0.0033321380615234375
de,zh,es,0.09197998046875,0.033172607421875
de,fr,es,0.1429443359375,0.044921875
de,ru,es,0.181884765625,0.059967041015625
ru,en,es,0.00502777099609375,0.002124786376953125
ru,zh,es,0.0869140625,0.032623291015625
ru,fr,es,0.1646728515625,0.046356201171875
ru,de,es,0.15576171875,0.04180908203125
en,zh,de,0.07611083984375,0.0333251953125
en,fr,de,0.2509765625,0.054290771484375
en,es,de,0.25439453125,0.050201416015625
en,ru,de,0.2156982421875,0.063232421875
zh,en,de,0.0203094482421875,0.00945281982421875
zh,fr,de,0.2003173828125,0.05072021484375
zh,es,de,0.193359375,0.048095703125
zh,ru,de,0.1324462890625,0.050689697265625
fr,en,de,0.00449371337890625,0.0016937255859375
fr,zh,de,0.08966064453125,0.03375244140625
fr,es,de,0.190185546875,0.046783447265625
fr,ru,de,0.183349609375,0.055908203125
es,en,de,0.00356292724609375,0.0016536712646484375
es,zh,de,0.09100341796875,0.0321044921875
es,fr,de,0.189208984375,0.045501708984375
es,ru,de,0.167724609375,0.05474853515625
ru,en,de,0.007049560546875,0.00366973876953125
ru,zh,de,0.08746337890625,0.031951904296875
ru,fr,de,0.209228515625,0.051513671875
ru,es,de,0.19189453125,0.04583740234375
en,zh,ru,0.046295166015625,0.0241241455078125
