src_lang,dest_lang,latent_lang,avg,sem95_error,avg_latent,sem95_error_latent
en,zh,fr,0.8649315237998962,0.06008005142211914,0.09090936928987503,0.06040670722723007
en,zh,es,0.8649315237998962,0.06008005142211914,0.011388149112462997,0.022214770317077637
en,zh,de,0.8649315237998962,0.06008005142211914,0.0002427737636025995,0.00030374759808182716
en,zh,ru,0.8649315237998962,0.06008005142211914,3.954370640713023e-06,4.093884399480885e-06
en,fr,zh,0.9592480063438416,0.033163655549287796,8.10456185718067e-07,1.0811871788973804e-06
en,fr,es,0.9592480063438416,0.033163655549287796,0.024478917941451073,0.031229225918650627
en,fr,de,0.9592480063438416,0.033163655549287796,0.00016204304120037705,0.00018128754163626581
en,fr,ru,0.9592480063438416,0.033163655549287796,6.206796570040751e-06,1.1329600965837017e-05
en,es,zh,0.9856004118919373,0.022298714146018028,3.953348084451136e-07,6.401146492862608e-07
en,es,fr,0.9856004118919373,0.022298714146018028,0.09116747230291367,0.06039375811815262
en,es,de,0.9856004118919373,0.022298714146018028,0.00032587331952527165,0.0006383461877703667
en,es,ru,0.9856004118919373,0.022298714146018028,2.3110209212973132e-07,1.4815375948273868e-07
en,de,zh,0.9386242032051086,0.04161328077316284,9.648694003772107e-07,1.3826223721480346e-06
en,de,fr,0.9386242032051086,0.04161328077316284,0.09093992412090302,0.060404084622859955
en,de,es,0.9386242032051086,0.04161328077316284,0.011363718658685684,0.022272033616900444
en,de,ru,0.9386242032051086,0.04161328077316284,1.4798159782003495e-06,1.8070328451358364e-06
en,ru,zh,0.9774343371391296,0.023323651403188705,9.163873642137332e-07,9.404438969795592e-07
en,ru,fr,0.9774343371391296,0.023323651403188705,0.09090911597013474,0.06040928140282631
en,ru,es,0.9774343371391296,0.023323651403188705,0.011363223195075989,0.022271912544965744
en,ru,de,0.9774343371391296,0.023323651403188705,3.778715108637698e-05,6.12675939919427e-05
zh,en,fr,0.9396244287490845,0.0452701635658741,0.07953467965126038,0.05681794509291649
zh,en,es,0.9396244287490845,0.0452701635658741,0.011373446322977543,0.02225995436310768
zh,en,de,0.9396244287490845,0.0452701635658741,8.770477506914176e-06,1.263860485778423e-05
zh,en,ru,0.9396244287490845,0.0452701635658741,1.1150995504749517e-07,2.0627433627851133e-07
zh,fr,en,0.8982385993003845,0.058310817927122116,0.9297814965248108,0.048449013382196426
zh,fr,es,0.8982385993003845,0.058310817927122116,0.023342661559581757,0.030043859034776688
zh,fr,de,0.8982385993003845,0.058310817927122116,0.00021326629212126136,0.0004100101941730827
zh,fr,ru,0.8982385993003845,0.058310817927122116,2.875895006582141e-07,3.1876967909738596e-07
