src_lang,dest_lang,latent_lang,avg,sem95_error
zh,fr,en,0.7177734375,0.0565185546875
zh,es,en,0.74560546875,0.048370361328125
zh,de,en,0.68505859375,0.0487060546875
zh,ru,en,0.67578125,0.057373046875
fr,zh,en,0.8271484375,0.039703369140625
fr,es,en,0.85693359375,0.04339599609375
fr,de,en,0.78466796875,0.048004150390625
fr,ru,en,0.767578125,0.05084228515625
es,zh,en,0.80908203125,0.045501708984375
es,fr,en,0.82080078125,0.056640625
es,de,en,0.771484375,0.04437255859375
es,ru,en,0.77099609375,0.052215576171875
de,zh,en,0.7841796875,0.045166015625
de,fr,en,0.73583984375,0.053985595703125
de,es,en,0.716796875,0.0450439453125
de,ru,en,0.70947265625,0.04949951171875
ru,zh,en,0.83984375,0.043975830078125
ru,fr,en,0.82763671875,0.05450439453125
ru,es,en,0.86083984375,0.045928955078125
ru,de,en,0.82177734375,0.043731689453125
en,fr,zh,0.86328125,0.03985595703125
en,es,zh,0.89111328125,0.036712646484375
en,de,zh,0.81591796875,0.043975830078125
en,ru,zh,0.83349609375,0.04779052734375
fr,en,zh,0.876953125,0.031097412109375
fr,es,zh,0.88134765625,0.036834716796875
fr,de,zh,0.7822265625,0.04681396484375
fr,ru,zh,0.78369140625,0.04949951171875
es,en,zh,0.89013671875,0.032684326171875
es,fr,zh,0.84423828125,0.04974365234375
es,de,zh,0.76708984375,0.0435791015625
es,ru,zh,0.7822265625,0.051727294921875
de,en,zh,0.79248046875,0.037933349609375
de,fr,zh,0.75537109375,0.049224853515625
de,es,zh,0.751953125,0.04156494140625
de,ru,zh,0.724609375,0.0487060546875
ru,en,zh,0.8759765625,0.0350341796875
ru,fr,zh,0.8505859375,0.045562744140625
ru,es,zh,0.880859375,0.0411376953125
ru,de,zh,0.8330078125,0.037994384765625
en,zh,fr,0.822265625,0.039581298828125
en,es,fr,0.87744140625,0.039154052734375
en,de,fr,0.81640625,0.044464111328125
en,ru,fr,0.83056640625,0.047637939453125
zh,en,fr,0.76171875,0.043365478515625
zh,es,fr,0.751953125,0.0458984375
zh,de,fr,0.6806640625,0.048004150390625
zh,ru,fr,0.68359375,0.05694580078125
es,en,fr,0.88916015625,0.03369140625
es,zh,fr,0.80810546875,0.045074462890625
es,de,fr,0.7666015625,0.04376220703125
es,ru,fr,0.779296875,0.052276611328125
de,en,fr,0.7705078125,0.0391845703125
de,zh,fr,0.78564453125,0.045684814453125
de,es,fr,0.71728515625,0.04364013671875
de,ru,fr,0.71826171875,0.049072265625
ru,en,fr,0.8779296875,0.034912109375
ru,zh,fr,0.84130859375,0.043212890625
ru,es,fr,0.87548828125,0.041473388671875
ru,de,fr,0.82666015625,0.03973388671875
en,zh,es,0.82275390625,0.039703369140625
en,fr,es,0.8505859375,0.044647216796875
en,de,es,0.810546875,0.047271728515625
en,ru,es,0.83203125,0.047607421875
zh,en,es,0.76123046875,0.0443115234375
zh,fr,es,0.73388671875,0.055084228515625
zh,de,es,0.67822265625,0.051513671875
zh,ru,es,0.68505859375,0.057159423828125
fr,en,es,0.87890625,0.031280517578125
fr,zh,es,0.828125,0.040283203125
fr,de,es,0.77880859375,0.049713134765625
fr,ru,es,0.77978515625,0.049835205078125
de,en,es,0.77099609375,0.038818359375
de,zh,es,0.787109375,0.0455322265625
de,fr,es,0.73388671875,0.0537109375
de,ru,es,0.7197265625,0.049163818359375
ru,en,es,0.88671875,0.033843994140625
ru,zh,es,0.845703125,0.042266845703125
ru,fr,es,0.83251953125,0.05145263671875
ru,de,es,0.82470703125,0.041778564453125
en,zh,de,0.8330078125,0.0401611328125
en,fr,de,0.8671875,0.04022216796875
en,es,de,0.88916015625,0.034637451171875
en,ru,de,0.82373046875,0.049224853515625
zh,en,de,0.7705078125,0.0435791015625
zh,fr,de,0.73046875,0.054443359375
zh,es,de,0.763671875,0.04534912109375
zh,ru,de,0.67919921875,0.0565185546875
fr,en,de,0.87939453125,0.0325927734375
fr,zh,de,0.83740234375,0.040557861328125
fr,es,de,0.88232421875,0.036102294921875
fr,ru,de,0.77197265625,0.050628662109375
es,en,de,0.89404296875,0.032470703125
es,zh,de,0.81298828125,0.046905517578125
es,fr,de,0.8388671875,0.050506591796875
es,ru,de,0.77099609375,0.052398681640625
ru,en,de,0.890625,0.032989501953125
ru,zh,de,0.849609375,0.043701171875
ru,fr,de,0.85595703125,0.046051025390625
ru,es,de,0.888671875,0.03826904296875
en,zh,ru,0.80712890625,0.038665771484375
en,fr,ru,0.86767578125,0.041290283203125
en,es,ru,0.89013671875,0.037689208984375
en,de,ru,0.80322265625,0.048583984375
zh,en,ru,0.76220703125,0.043243408203125
zh,fr,ru,0.75244140625,0.05517578125
zh,es,ru,0.7578125,0.049224853515625
zh,de,ru,0.66845703125,0.05596923828125
fr,en,ru,0.8642578125,0.0311737060546875
fr,zh,ru,0.80859375,0.038330078125
fr,es,ru,0.88037109375,0.038543701171875
fr,de,ru,0.76416015625,0.053985595703125
es,en,ru,0.8759765625,0.032196044921875
es,zh,ru,0.78564453125,0.044158935546875
es,fr,ru,0.8505859375,0.05010986328125
es,de,ru,0.7490234375,0.051727294921875
de,en,ru,0.7734375,0.03857421875
de,zh,ru,0.7734375,0.045318603515625
de,fr,ru,0.76708984375,0.04888916015625
de,es,ru,0.74951171875,0.046630859375
