src_lang,dest_lang,latent_lang,avg,sem95_error
en,zh,,0.8095703125,0.038238525390625
en,fr,,0.86328125,0.03863525390625
en,es,,0.89306640625,0.035400390625
en,de,,0.814453125,0.042572021484375
en,ru,,0.83544921875,0.047698974609375
zh,en,,0.76416015625,0.042694091796875
zh,fr,,0.73193359375,0.0528564453125
zh,es,,0.75390625,0.0460205078125
zh,de,,0.67333984375,0.046783447265625
zh,ru,,0.6904296875,0.056884765625
fr,en,,0.8828125,0.03131103515625
fr,zh,,0.8154296875,0.038055419921875
fr,es,,0.88232421875,0.03570556640625
fr,de,,0.78125,0.0452880859375
fr,ru,,0.78466796875,0.050018310546875
es,en,,0.8955078125,0.032684326171875
es,zh,,0.791015625,0.0440673828125
es,fr,,0.84228515625,0.049591064453125
es,de,,0.765625,0.04180908203125
es,ru,,0.783203125,0.052276611328125
de,en,,0.7998046875,0.037750244140625
de,zh,,0.77099609375,0.044677734375
de,fr,,0.74853515625,0.049072265625
de,es,,0.7490234375,0.03936767578125
de,ru,,0.72802734375,0.049072265625
ru,en,,0.88427734375,0.034576416015625
ru,zh,,0.8330078125,0.04302978515625
ru,fr,,0.84814453125,0.045562744140625
ru,es,,0.8837890625,0.040283203125
ru,de,,0.830078125,0.03753662109375
